Product ID,Type,Air temperature [C],Process temperature [C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure type
M0000A,M,,,1551,,0,0,NOT
M14860,M,24.95,35.45,1551,42.8,0,0,NOT
L47181,L,25.05,35.55,1408,46.3,3,0,NOT
L47182,L,24.95,35.35,1498,49.4,5,0,NOT
L47183,L,25.05,35.45,1433,39.5,7,0,NOT
L47184,L,25.05,35.55,1408,40,9,0,NOT
M14865,M,24.95,35.45,1425,41.9,11,0,NOT
L47186,L,24.95,35.45,1558,42.4,14,0,NOT
L47187,L,24.95,35.45,1527,40.2,16,0,NOT
M14868,M,25.15,35.55,1667,28.6,18,0,NOT
M14869,M,25.35,35.85,1741,28,21,0,NOT
H29424,H,25.25,35.75,1782,23.9,24,0,NOT
H29425,H,25.45,35.95,1423,44.3,29,0,NOT
M14872,M,25.45,35.95,1339,51.1,34,0,NOT
M14873,M,25.45,36.05,1742,30,37,0,NOT
L47194,L,25.45,36.05,2035,19.6,40,0,NOT
L47195,L,25.45,36.05,1542,48.4,42,0,NOT
M14876,M,25.45,36.05,1311,46.6,44,0,NOT
M14877,M,25.55,36.05,1410,45.6,47,0,NOT
H29432,H,25.65,36.05,1306,54.5,50,0,NOT
M14879,M,25.75,36.15,1632,32.5,55,0,NOT
H29434,H,25.75,36.15,1375,42.7,58,0,NOT
L47201,L,25.65,36.15,1450,44.8,63,0,NOT
M14882,M,25.75,36.15,1581,30.7,65,0,NOT
L47203,L,25.85,36.25,1758,25.7,68,0,NOT
M14884,M,25.85,36.25,1561,37.3,70,0,NOT
L47205,L,25.85,36.35,1861,23.3,73,0,NOT
L47206,L,25.95,36.35,1512,39,75,0,NOT
H29441,H,25.95,36.25,1811,24.6,77,0,NOT
L47208,L,25.95,36.25,1439,44.2,82,0,NOT
L47209,L,25.85,36.25,1693,30.1,84,0,NOT
M14890,M,25.95,36.35,1339,48.2,86,0,NOT
L47211,L,25.85,36.25,1798,25.5,89,0,NOT
L47212,L,25.85,36.25,1419,48.3,91,0,NOT
L47213,L,25.75,36.15,1665,32.5,93,0,NOT
M14894,M,25.65,35.95,1559,34.7,95,0,NOT
M14895,M,25.65,36.05,1452,48.6,98,0,NOT
M14896,M,25.75,36.05,1581,36.7,101,0,NOT
L47217,L,25.65,35.95,1439,39.2,104,0,NOT
H29452,H,25.75,36.05,1379,50.7,106,0,NOT
L47219,L,25.65,35.95,1350,52.5,111,0,NOT
L47220,L,25.65,35.95,1362,45.4,113,0,NOT
L47221,L,25.65,35.95,1368,50.8,115,0,NOT
M14902,M,25.65,35.95,1368,49.1,117,0,NOT
H29457,H,25.65,36.05,1372,48.5,120,0,NOT
M14904,M,25.65,35.95,1472,47.5,125,0,NOT
L47225,L,25.65,35.95,1489,49.1,128,0,NOT
M14906,M,25.55,35.85,1843,25.8,130,0,NOT
L47227,L,25.65,35.95,1418,46.3,133,0,NOT
H29462,H,25.65,36.05,1425,53.9,135,0,NOT
M14909,M,25.75,36.05,1412,44.1,140,0,NOT
L47230,L,25.75,35.95,2861,4.6,143,1,PWF
L47231,L,25.75,35.95,1383,54.9,145,0,NOT
H29466,H,25.65,35.85,1497,43.8,147,0,NOT
L47233,L,25.55,35.85,1565,35.1,152,0,NOT
L47234,L,25.55,35.85,1691,30.1,154,0,NOT
L47235,L,25.65,35.95,1512,40.7,156,0,NOT
L47236,L,25.65,35.95,1477,42.4,158,0,NOT
L47237,L,25.65,35.95,1513,40.3,160,0,NOT
M14918,M,25.65,35.85,1661,29.5,162,0,NOT
L47239,L,25.65,35.95,1378,54.4,165,0,NOT
